Distance (m),Elevation (m)
4540.591232,236.3301697
4551.034817,237.0657654
4561.478403,238.1901245
4571.921989,237.5288239
4582.365574,237.6902161
4592.80916,237.6902161
4603.252746,238.3114777
4613.696332,238.6512604
4624.139917,239.9967651
4634.583503,241.781601
4645.027089,243.4976654
4655.470674,243.4976654
4665.91426,245.2670898
4676.357846,244.7492676
4686.801431,247.4620819
4697.245017,251.7189026
4708.171037,247.0701599
4719.097057,243.4305878
4730.023076,246.3010406
4740.949096,242.7513733
4751.875116,241.7224579
4762.801136,241.4298553
4773.727156,240.6385498
4784.653175,241.7019501
4795.579195,242.4071198
4806.505215,241.6737518
4817.431235,239.9869537
4828.357255,234.706665
4839.283274,227.9129028
4850.209294,235.1892853
4861.135314,229.989563
4872.061334,228.7539825
4882.987353,237.9394531
4893.913373,239.4210663
4904.839393,240.0801697
4915.765413,240.0801697
4926.691433,240.9494476
4937.617452,241.2391052
4948.543472,242.0931854
4959.469492,242.3808899
4970.395512,241.240448
4981.321531,241.2551575
4992.247551,240.9589081
5003.173571,241.3749542
5014.099591,241.6804504
5025.025611,241.0472412
5035.95163,241.0472412
5046.87765,241.7004852
5057.80367,242.1678925
5068.72969,244.4138641
5079.655709,245.7296906
5090.581729,241.51297
5101.507749,243.0616302
5112.433769,241.331665
5123.359789,242.0502167
5134.285808,243.1696014
5145.211828,241.1059875
5156.137848,241.1059875
5167.063868,241.7262726
5177.989887,241.1927032
5188.915907,244.7935028
5199.841927,243.3920898
5210.767947,243.3920898
5221.693967,242.507019
5232.619986,235.1861267
5243.546006,242.5449219
5254.472026,242.5273285
5265.398046,238.3878632
5276.324065,239.0001221
5287.250085,243.4136963
5298.176105,237.1203613
5309.102125,245.0421753
5320.028145,244.5572205
5330.954164,244.5572205
5341.880184,243.5270844
5352.806204,245.4906464
5363.732224,248.5400696
5376.266503,246.1776886
5388.800783,246.9264069
5401.335062,246.0275269
5413.869341,245.7149811
5426.403621,244.6192932
5438.9379,243.6063995
5451.47218,243.3569794
5464.006459,241.6087494
5476.540739,241.4911957
5489.075018,243.6318512
5501.609297,241.4254456
5514.143577,243.7266388
5526.677856,241.0742645
5539.212136,239.9841156
5551.746415,239.136673
5564.280694,242.1484375
5576.814974,242.1484375
5589.349253,244.4857635
5600.805245,247.3341064
5612.261237,246.0437775
5623.717229,248.421936
5635.17322,248.421936
5646.629212,249.078125
5658.085204,247.7705688
5669.541196,253.6044617
5680.997188,246.6010742
5692.453179,250.7530823
5703.909171,250.6651611
5715.365163,250.4332733
5726.821155,252.8199158
5738.277147,250.4197235
5749.733138,250.0819092
5761.18913,250.0819092
5772.645122,250.5376434
5784.101114,249.4091187
5795.557105,249.8092499
5807.013097,247.7991333
5818.469089,246.6290741
5829.925081,246.6290741
5841.381073,248.5971069
5852.013066,247.7977295
5862.64506,249.6179504
5873.277053,251.263443
5883.909047,251.2157745
5894.54104,251.2157745
5905.173034,250.7936707
5915.805028,251.3684998
5926.437021,252.3558655
5937.069015,251.9026031
5947.701008,250.2753296
5958.333002,250.2753296
5968.964995,250.0681152
5979.596989,250.2743378
5990.228983,251.4002533
6000.860976,250.2032623
6011.49297,248.3187561
6022.124963,248.3391266
6032.756957,248.3391266
6043.38895,248.6556854
6054.020944,247.8874664
6064.652938,249.1220398
6075.284931,250.8860474
6085.916925,248.3690796
6096.548918,248.3690796
6107.180912,247.7240601
6117.812905,248.0756531
6128.444899,246.781311
6139.076893,247.2113495
6149.708886,248.2926483
6160.34088,248.5351105
6170.972873,247.4963989
6181.604867,248.8661499
6192.23686,249.6840668
6202.868854,249.596817
6213.500848,249.7871704
6224.132841,249.6999054
6234.764835,249.6999054
6245.396828,251.6148529
6256.028822,250.7478333
6266.660816,251.775528
6277.292809,251.1595459
6287.924803,250.6836395
6298.556796,251.8513641
6309.18879,251.8513641
6319.820783,253.2290039
6330.452777,252.0018463
6341.084771,252.4811859
6351.716764,253.0491791
6362.348758,249.7289124
6372.980751,249.7289124
6383.612745,249.0395813
6394.244738,247.7016449
6404.876732,246.8182983
6415.508726,248.1695557
6426.140719,248.7662201
6436.772713,251.0839081
6447.404706,244.7909088
6458.0367,245.5148163
6468.668693,249.6483307
6479.300687,252.023468
6489.932681,247.7130737
6500.564674,247.7130737
6511.196668,250.5561218
6521.828661,253.522934
6532.460655,251.9081421
6543.092648,259.5289917
6553.724642,261.5619812
6564.356636,258.9491577
6574.988629,261.1379395
6585.599521,260.1614685
6596.210414,260.1614685
6606.821306,256.2897949
6617.432198,255.4227905
6628.04309,255.7691345
6638.653983,256.3280029
6649.264875,256.718689
6659.875767,255.2188873
6670.48666,255.4833679
6681.097552,256.7068481
6691.708444,258.5013123
6702.319336,259.2527771
6712.930229,259.2527771
6723.541121,259.0050964
6734.152013,257.7570801
6744.762905,257.3103638
6755.373798,256.932312
6765.98469,256.932312
6776.595582,256.6381531
6787.206474,255.6911926
6797.817367,255.4073639
6808.428259,255.6014862
6819.039151,255.8446503
6829.650043,255.8446503
6840.260936,255.7761536
6850.871828,255.6955566
6861.48272,255.9730377
6872.093613,256.5569153
6882.704505,256.4004211
6893.315397,256.4659119
6903.926289,257.5814209
6914.537182,257.5469971
6927.505921,256.0519104
6940.474661,256.0519104
6953.4434,256.1852722
6966.41214,256.6670227
6979.380879,256.6600647
6992.349619,256.0551147
7005.318358,257.1037598
7018.287098,258.2578735
7031.255837,257.3443909
7044.224577,253.6154175
7057.193316,255.5153961
7070.162055,255.8824921
7083.130795,258.2496948
7096.099534,256.6399536
7109.068274,257.0540771
7122.037013,255.1138306
7135.005753,256.7275085
7147.974492,256.2071838
7160.943232,257.7994385
7173.911971,259.6058655
7186.880711,259.4235229
7199.84945,258.3651123
7212.81819,259.0499878
7225.786929,257.515686
7238.755669,259.0942078
7251.724408,258.6431885
7264.693148,258.2337646
7277.661887,258.5697327
7290.630627,259.2111816
7303.599366,257.7841492
7316.568106,259.9681396
7329.536845,258.779541
7342.505585,259.9874268
7355.474324,259.3995972
7368.443064,260.497467
7381.411803,260.76651
7394.380543,260.5374146
